,tweet_id,handle,retweet_count,text,mined_at,created_at
0,1232676664234168322,Barbara_Durso,6,Dai un'occhiata al video di Barbara d’Urso! #TikTok https://t.co/eQzOLrvtdv,2020-02-26 18:08:39.870674,Wed Feb 26 14:39:53 +0000 2020
1,1232625012609290240,Barbara_Durso,18,Ormai lo sapete qual è la cosa fondamentale per iniziare la giornata: #SorridereSempre 🤩🤩🤩 #maifermarsi #buonagiornata #colcuore❤️ https://t.co/z7Y1FYGjrL,2020-02-26 18:08:39.870757,Wed Feb 26 11:14:38 +0000 2020
2,1232393315359875078,Barbara_Durso,20,Questa sera relax in cucina 👩🏼‍🍳👩🏼‍🍳👩🏼‍🍳  Lo sentite anche voi il profumo della mia vellutata di ceci?!? 😜😜😜 #cucinoio #foodporn #yummy #homemade #foodlove #simangia #colcuore❤️ https://t.co/ehnwyU7W0S,2020-02-26 18:08:39.870886,Tue Feb 25 19:53:57 +0000 2020
3,1232310142558986240,Barbara_Durso,22,"Grazie a @InArteMorgan che ha devoluto in beneficenza, per la ricerca sulla SLA, tutti i 6.050€ raccolti con la vendita all’asta del foglio con il testo di #SanRemo, conservato gelosamente nel cassetto del mio camerino 🤩🤩🤩 #ricerca #sla #maifermarsi #grazie #colcuore❤️ https://t.co/VwXgiSShHT",2020-02-26 18:08:39.871038,Tue Feb 25 14:23:27 +0000 2020
4,1231879999004848128,Barbara_Durso,608,Grazie per l’affetto con cui ci avete seguito in una serata non facile!Siete arrivati a picchi di 4mln e 24% di share.Anche senza pubblico in studio ho sentito forte il vostro calore da casa!Fieri di avervi informato e di avervi tenuto compagnia con i nostri talk!❤ #noneladurso https://t.co/Gr1sWETNK6,2020-02-26 18:08:39.871259,Mon Feb 24 09:54:13 +0000 2020
5,1231673149432922117,Barbara_Durso,42,"Stiamo per partire con @LiveNoneladUrso e stasera, ancora di più, ho bisogno del vostro calore #amicidiinstagram #amicidifacebook #amiciditwitter 😍😍😍 Ma prima #solopervoi l’abito di questa sera 🤩🤩🤩 #noneladurso #emozione #colcuore❤️ https://t.co/A6ny9G7MoS",2020-02-26 18:08:39.871635,Sun Feb 23 20:12:16 +0000 2020
6,1231572469712072705,Barbara_Durso,31,CON TUTTI GLI OSPITI PREVISTI E SO CHE SENTIRÒ IL VOSTRO CALORE DA CASA ATTRAVERSO I SOCIAL ❤️,2020-02-26 18:08:39.871913,Sun Feb 23 13:32:12 +0000 2020
7,1231572468076249089,Barbara_Durso,33,"I TECNICI CHE LAVORANO AL PROGRAMMA. SI DICE “THE SHOW MUST GO ON”, SÌ MA GIUSTAMENTE, SENZA ESPORRE LE PERSONE AD ALCUN TIPO DI RISCHIO INUTILE. NON SARÀ FACILE PER ME CON LO STUDIO COMPLETAMENTE VUOTO MA CERCHERÒ COMUNQUE DI TENERVI COMPAGNIA...",2020-02-26 18:08:39.871986,Sun Feb 23 13:32:12 +0000 2020
8,1231572464641204231,Barbara_Durso,92,"IN RISPETTO DELL’ORDINANZA DELLA REGIONE LOMBARDIA, MEDIASET HA DECISO CHE QUESTA SERA LIVE #NONELADURSO ANDRÀ IN ONDA IN DIRETTA E SENZA PUBBLICO IN SUTDIO, UNA SCELTA CHE CONDIVIDO TOTALMENTE PER IL SENSO DI RESPONSABILITÀ VERSO IL PUBBLICO STESSO, VERSO GLI OSPITI E VERSO... https://t.co/v2UdDlS6Bh",2020-02-26 18:08:39.872165,Sun Feb 23 13:32:11 +0000 2020
9,1231325387302502401,Barbara_Durso,11,"La scorsa settimana con #SophiaLoren / @Ale_Mussolini_ 😜😜😜 Domani, invece, chi interpreterà 9 settimane e mezzo?!? Ancora poche ore e lo saprete 🤩🤩🤩 #domenicalive #arriviamo #siballa #9settimaneemezzo #kimbasinger #mickeyrourke #buonaserata #colcuore❤️ https://t.co/ymc2uYhgRf",2020-02-26 18:08:39.872568,Sat Feb 22 21:10:23 +0000 2020
