,tweet_id,handle,retweet_count,text,mined_at,created_at
0,1232334361246289922,Enrico_Letta,2,"L’Afrique doit jouer un rôle de plus en plus important dans la mission de ⁦@PSIASciencesPo⁩ et de tout ⁦@sciencespo⁩. Ravi d’avoir lancé une série de nouveau projets et partenariats à Nairobi avec ⁦@uonbi⁩, ⁦@USIUAfrica⁩, ⁦@StrathU⁩. https://t.co/ed9HC10bmF",2020-02-26 17:43:41.376249,Tue Feb 25 15:59:42 +0000 2020
1,1232330325566595072,Enrico_Letta,13,Les noms sont importants. Si on appelle les Commissaires d’une façon si étrange (commissaire c’est bon pour Maigret) faut pas se plaindre si la tâche des antieuropéens est facilitée ⁦@lemondefr⁩ @sciencespo⁩ ⁦@DelorsInstitute⁩ ⁦⁦⁦⁦ https://t.co/VJUBQcRNie,2020-02-26 17:43:41.376925,Tue Feb 25 15:43:39 +0000 2020
2,1232044868660289539,Enrico_Letta,21,"Assez pleuré pour le Brexit. Le temps est venu, pour l’Europe,de relancer. Sur @lemondefr mes propos européens. @DelorsInstitute @ID_EUAgora @PSIASciencesPo @sciencespo https://t.co/U5KX0Ni8yx",2020-02-26 17:43:41.377589,Mon Feb 24 20:49:21 +0000 2020
3,1231995539027365891,Enrico_Letta,20,"Après Brexit prenons tous les vétos britanniques et surmontons les,dans l’intérêt des citoyens. Taxes, éducation et social avant tout. Faisons un Erasmus pour tous les ados et changeons le nom Commissaire (quel nom 👎) en Ministre (au service des citoyens). Mes propos @lemondefr",2020-02-26 17:43:41.378049,Mon Feb 24 17:33:20 +0000 2020
4,1231993517943263233,Enrico_Letta,6,With ⁦some of the @PSIASciencesPo⁩ African alumni in Nairobi for #PSIA10thanniversary. ⁦@sciencespo⁩ ⁦@apsiainfo⁩ https://t.co/JxPoml3M5Z,2020-02-26 17:43:41.378828,Mon Feb 24 17:25:18 +0000 2020
5,1231967253022814208,Enrico_Letta,37,"Oggi a Nairobi in Kenya per l’Università, il mio pensiero principale è per #SilviaRomano.",2020-02-26 17:43:41.379186,Mon Feb 24 15:40:56 +0000 2020
6,1231943057647509504,Enrico_Letta,4,"Great day in Nairobi. A @sciencespo pact with big Kenya Universities (⁦@StrathU⁩, ⁦@USIUAfrica⁩, ⁦@uonbi⁩) to relaunch Eu-Africa cooperation. At ⁦@PSIASciencesPo⁩ we strongly believe in this mission. #Africa #EU #Erasmus https://t.co/53KGqL83s6",2020-02-26 17:43:41.379466,Mon Feb 24 14:04:47 +0000 2020
7,1231938586502684673,Enrico_Letta,12,"A Nairobi pour nouvel élan de la présence de ⁦@sciencespo⁩ en Afrique grâce aux partenariats avec grandes Universités Kenya, ⁦@StrathU⁩ ⁦@USIUAfrica⁩ ⁦@uonbi⁩. Relation UE-Afrique au cœur de @PSIASciencesPo⁩. ⁦@VanessaScherrer⁩ ⁦@apsiainfo⁩ https://t.co/u9VaSkvIB3",2020-02-26 17:43:41.380098,Mon Feb 24 13:47:01 +0000 2020
8,1231936333549056002,Enrico_Letta,8,"Sul #CambioClimatico UE e Africa dalla stessa parte, a combattere negazionismi e chiedere azioni urgenti. Temuto aumento di 2/3gradi temperatura Terra renderebbe invivibile parte dell’Africa. Con conseguenti migrazioni di massa ingestibili per Europa.A Nairobi ⁦@sciencespo⁩ https://t.co/LR5zLLBiiu",2020-02-26 17:43:41.380772,Mon Feb 24 13:38:04 +0000 2020
9,1231933388191412225,Enrico_Letta,16,A Nairobi a unire le forze con tre grandi Università kenyane. La cooperazione universitaria con l’Africa è fondamentale. ⁦@PSIASciencesPo⁩ ⁦@sciencespo⁩ ⁦@apsiainfo⁩ ⁦@scuolapolitiche⁩ https://t.co/Bux3eWKRKg,2020-02-26 17:43:41.381420,Mon Feb 24 13:26:22 +0000 2020
