,tweet_id,handle,retweet_count,text,mined_at,created_at
0,1231277649647079429,Ezio_Greggio,76,Ronnnn...Ronnnn...Ronnnnn...Ronaldoooo! Ma vi rendete conto che a questo signore basta far arrivare la palla in area e lui la butta dentro. E che se fai giocare Cuadrado nel suo ruolo di “ala destra“ti cambia le partite. I GIOCATORI DEVONO GIOCARE NELLA LORO POSIZIONE CONGENIALE https://t.co/J5D34QAp7Y,2020-02-26 18:08:23.016728,Sat Feb 22 18:00:42 +0000 2020
1,1229733619553460225,Ezio_Greggio,4,al mitico Bar des Moulins #Ezio_Greggio #èluiononèlui https://t.co/zuo9IqJIar,2020-02-26 18:08:23.017069,Tue Feb 18 11:45:16 +0000 2020
2,1229435477146710021,Ezio_Greggio,5,Memories: io Avvocato di Iacchetti #enzinoiacchetti @Striscia #Ezio_Greggio #èluiononèlui https://t.co/O8QfF1Witj,2020-02-26 18:08:23.017127,Mon Feb 17 16:00:34 +0000 2020
3,1228681262459736065,Ezio_Greggio,7,con Enrico Vanzina: tanti film e telefilm insieme. E... “ er mejo a da venì! “... e daje!!! #enricovanzina #Ezio_Greggio #èluiononèlui https://t.co/WFgxelIjIG,2020-02-26 18:08:23.017218,Sat Feb 15 14:03:35 +0000 2020
4,1228020503996248065,Ezio_Greggio,6,...e per finire il solito selfie con gli amici #oscar #hollywood #Ezio_Greggio #èluiononèlui https://t.co/e6cXkynjF7,2020-02-26 18:08:23.017357,Thu Feb 13 18:17:58 +0000 2020
5,1227665726913294340,Ezio_Greggio,12,"Santa Monica Pier, il molo di Santa Monica che da oltre 100 anni con le sue attrazioni è uno dei luoghi californiani più caratteristici #Ezio_Greggio #èluiononèlui #santamonicapier https://t.co/NyJRuzaxj4",2020-02-26 18:08:23.017448,Wed Feb 12 18:48:12 +0000 2020
6,1226954879224045568,Ezio_Greggio,6,grazie per l’ “Excellence Award” ricevuto da #LosAngelesItaliaFilmFestival 2020 #Ezio_Greggio #èluiononèlui https://t.co/Tb0uoCnzWZ,2020-02-26 18:08:23.017621,Mon Feb 10 19:43:33 +0000 2020
7,1226589181343752192,Ezio_Greggio,8,It’s always “Beautiful” to meet #RonnMoss #Beautiful https://t.co/fAbOwd5XN6,2020-02-26 18:08:23.017871,Sun Feb 09 19:30:24 +0000 2020
8,1226079946336063488,Ezio_Greggio,7,Buon sabato da Hollywood #Ezio_Greggio #èluiononèlui #hollywood #losangelesitalia https://t.co/khfOdu5iWu,2020-02-26 18:08:23.017998,Sat Feb 08 09:46:53 +0000 2020
9,1225453317037277184,Ezio_Greggio,8,"Il mio abbraccio a Los Angeles, 30 anni di amicizie, film, progetti, emozioni e da quest’anno anche di festival! Grazie #pascalvicedomini  grazie #losangelesitaliafilmfestivak #Ezio_Greggio #èluiononèlui https://t.co/fPKcFSJSi3",2020-02-26 18:08:23.018176,Thu Feb 06 16:16:53 +0000 2020
10,1225060779881222144,Ezio_Greggio,7,"Incontri @sharonstone e capisci che fascino, eleganza, bellezza sono il suo dna. Thanks Sharon for the wonderful moment yesterday you have shared with us 🌹#Ezio_Greggio #èluiononèlui https://t.co/xrPV7YwSDn",2020-02-26 18:08:23.018385,Wed Feb 05 14:17:05 +0000 2020
11,1224727493120352258,Ezio_Greggio,3,Solo a Hollywood al #LosAngelesItaliaFilmFestival puoi avere l’illusione di incontrare il mito di Marilyn Monroe @ChineseTheatres https://t.co/yepze8b8wE,2020-02-26 18:08:23.018563,Tue Feb 04 16:12:43 +0000 2020
12,1224247744996478976,Ezio_Greggio,11,"Bellissima apertura a Hollywood del #losangelesitaliaFilmFestival alla presenza di tanti premi Oscar, registi, attori, produttori di successo. Onorato dell’invito: domani sera sarà proiettato un film che mi vede tra i protagonisti “Il papà di Giovanna” #Ezio_Greggio #èluiononèlui https://t.co/vaaEfkVthv",2020-02-26 18:08:23.018710,Mon Feb 03 08:26:22 +0000 2020
13,1223964797173207041,Ezio_Greggio,4,Is good to be back in Hollywood ! I ❤️ my LA !!! @losangelesitalia #hollywood #losangeles #Ezio_Greggio #èluiononèlui https://t.co/OJ8OVRDrKb,2020-02-26 18:08:23.018985,Sun Feb 02 13:42:02 +0000 2020
