,tweet_id,handle,retweet_count,text,mined_at,created_at
0,1226839672372039680,Rosario_Fiorello,18,@SALVOLAFATA Secondo me anche del “Testaminchismo”,2020-02-26 18:08:07.112106,Mon Feb 10 12:05:46 +0000 2020
1,1226838351476600832,Rosario_Fiorello,527,"C’è del “Vincitorismo” in questa foto! @Diodato @SanremoRai #amadeus

Foto di : @SALVOLAFATA https://t.co/LlifYZODfa",2020-02-26 18:08:07.112242,Mon Feb 10 12:00:31 +0000 2020
2,1226551435782959104,Rosario_Fiorello,256,"Grazie re Giorgio
Per avermi regalato un po’ della tua classe!
@armani #armanistars @SanremoRai #sanremo https://t.co/9wtsnoEX2Q",2020-02-26 18:08:07.112416,Sun Feb 09 17:00:25 +0000 2020
3,1226474740929441793,Rosario_Fiorello,445,Ti voglio bene Vincenzo! @doreciakgulp  @TizianoFerro #amadeus #salini https://t.co/SFPC6fMv52,2020-02-26 18:08:07.112505,Sun Feb 09 11:55:39 +0000 2020
4,1226282429197012994,Rosario_Fiorello,110,Sta  per entrare!!!! @BiagioAntonacci !!! @SanremoRai ! https://t.co/NTHFlqnLiV,2020-02-26 18:08:07.112632,Sat Feb 08 23:11:29 +0000 2020
5,1224271445980798978,Rosario_Fiorello,5,"@claudoe @fattoquotidiano @eleonoradaniele E me la chiami: “PER NON METTERE PRESSIONE”?!?!?
PRESSIONISSIMA!!!",2020-02-26 18:08:07.112919,Mon Feb 03 10:00:33 +0000 2020
6,1224231968453419008,Rosario_Fiorello,98,"E finalmente l’ho svegliato!
@SanremoRai #sanremo #Amadeus 
https://t.co/sI1tRt5vdM",2020-02-26 18:08:07.113030,Mon Feb 03 07:23:41 +0000 2020
7,1223974155093041155,Rosario_Fiorello,6,@Riccardo_Bocca @eleonoradaniele Ok glielo dico!!! Sii buono...,2020-02-26 18:08:07.113093,Sun Feb 02 14:19:13 +0000 2020
8,1223935799873429504,Rosario_Fiorello,85,"Isolamento #coronavirus allo #Spallanzani la vera notizia @INMISpallanzani studierà il #VirusCina #Coronarivus @MinisteroSalute @WHO @RegioneLazio @SaluteLazio 

Complimenti e speriamo bene!",2020-02-26 18:08:07.113160,Sun Feb 02 11:46:48 +0000 2020
9,1223834966339006465,Rosario_Fiorello,122,SI sì dai @SanremoRai sarà un bel #festival @MarroneEmma ! Buongiorno https://t.co/QLXoAwVzyE,2020-02-26 18:08:07.113321,Sun Feb 02 05:06:08 +0000 2020
10,1223608021110153218,Rosario_Fiorello,58,"Mollica si congeda da Sanremo: ""Sarà una festa"" https://t.co/eTdWPIvOAu",2020-02-26 18:08:07.113429,Sat Feb 01 14:04:20 +0000 2020
11,1223488043329286144,Rosario_Fiorello,75,"Pass e mascherina!
Si può cominciare la giornata! Prove e ..... tennis.. @SanremoRai https://t.co/pb5BmeoYtu",2020-02-26 18:08:07.113479,Sat Feb 01 06:07:35 +0000 2020
12,1222589453631393792,Rosario_Fiorello,108,"Arrivato! @SanremoRai !
Amaaaaaaaa entro... https://t.co/PqXrpkxwi4",2020-02-26 18:08:07.113609,Wed Jan 29 18:36:55 +0000 2020
13,1222255942991077376,Rosario_Fiorello,128,"Ormai Vincenzino e Rosarietto sono inseparabili! @doreciakgulp 
@SanremoRai https://t.co/YvY2ohPlN9",2020-02-26 18:08:07.113652,Tue Jan 28 20:31:39 +0000 2020
14,1221917600243994624,Rosario_Fiorello,65,"Ho avuto il privilegio di vedere in anteprima #gliannipiubelli di @GabrieleMuccino .
40anni di storia del nostro paese raccontati attraverso le storie e le emozioni di 4 amici. Ognuno di noi può riconoscersi e ritrovare nei personaggi raccontati magistralmente da Gabriele. https://t.co/bhU6FYpBRs",2020-02-26 18:08:07.113718,Mon Jan 27 22:07:12 +0000 2020
15,1221381301820968960,Rosario_Fiorello,4,"@fufo56 Funziona così purtroppo...
In tutti i campi...",2020-02-26 18:08:07.113993,Sun Jan 26 10:36:09 +0000 2020
16,1221325224299433985,Rosario_Fiorello,5,@iricchiepoveri @SanremoRai Vedervi tutti e quattro su quel palco sarà bellissimo!,2020-02-26 18:08:07.114044,Sun Jan 26 06:53:19 +0000 2020
17,1221182778722725888,Rosario_Fiorello,72,"Vi prego voglio essere il quinto!! @iricchiepoveri 
#chesarà @SanremoRai https://t.co/2Jvb3Dn0n4",2020-02-26 18:08:07.114156,Sat Jan 25 21:27:17 +0000 2020
18,1220947631368818688,Rosario_Fiorello,73,"E comunque se dovesse arrivare il #coronavirus a @SanremoRai, si salverà solo #JuniorCally https://t.co/WcFFvOWTVW",2020-02-26 18:08:07.114224,Sat Jan 25 05:52:54 +0000 2020
19,1219930575378821120,Rosario_Fiorello,66,"Evviva! W i videoclip! W la musica! #taxcredit. 
Grazie @dariofrance ! https://t.co/mUMixRLcC8",2020-02-26 18:08:07.114516,Wed Jan 22 10:31:29 +0000 2020
20,1218548974258393088,Rosario_Fiorello,134,"Eravamo Siciliani! Siciliani come Pietro Anastasi!
Grazie Pietro. Eravamo fieri di essere tuoi corregionali.
In un tempo non facile per i meridionali che arrivavano nel nord italia. #Anastasi 😢⚽️",2020-02-26 18:08:07.114592,Sat Jan 18 15:01:29 +0000 2020
