,tweet_id,handle,retweet_count,text,mined_at,created_at
0,833730456264773632,Gerry_Scotti,5,"@davidemaggio solitamente non ringrazio. Ma questa volta lo faccio,rompendo tre anni di silenzio......A presto",2020-02-26 18:07:24.538540,Mon Feb 20 17:30:05 +0000 2017
1,550056346738237440,Gerry_Scotti,298,Per l'anno nuovo vi auguro un mondo di bene. E che il bene di ciascuno sia il meglio per l'altro. A presto#solocosebelle,2020-02-26 18:07:24.538707,Tue Dec 30 22:30:27 +0000 2014
2,549635369072095232,Gerry_Scotti,7,@marcosalvati @RudyZerbi la famiglia si diverte!!!!,2020-02-26 18:07:24.538819,Mon Dec 29 18:37:38 +0000 2014
3,549201429697953792,Gerry_Scotti,39,"@RudyZerbi fammi capire, prendi quella a destra? http://t.co/LcfixAJxIO",2020-02-26 18:07:24.538865,Sun Dec 28 13:53:19 +0000 2014
4,547825037471137792,Gerry_Scotti,9,@RudyZerbi @LinusDJ a dir la verità è lo zampone che insegue me!!!!!!,2020-02-26 18:07:24.538943,Wed Dec 24 18:44:01 +0000 2014
5,547731845224603648,Gerry_Scotti,120,A tutti voi! Grazie di cuore per gli auguri ricevuti e per quelli che riceveró. http://t.co/eR780H5lvP,2020-02-26 18:07:24.539003,Wed Dec 24 12:33:42 +0000 2014
6,547388614901235712,Gerry_Scotti,15,@RudyZerbi io sono responsabile solo dell'asinello.......,2020-02-26 18:07:24.539084,Tue Dec 23 13:49:50 +0000 2014
7,547320868469473280,Gerry_Scotti,7,@DjChiamaItalia @radiodeejay .....di gran lunga Gerry Scotti!!!,2020-02-26 18:07:24.539142,Tue Dec 23 09:20:38 +0000 2014
8,546758806357942273,Gerry_Scotti,5,@RudyZerbi @lucadondoni è una scusa per la tombola,2020-02-26 18:07:24.539236,Sun Dec 21 20:07:12 +0000 2014
9,545513667991982080,Gerry_Scotti,16,"@RudyZerbi ha chiamato il Papa, Gli ho detto che eri fuori......ps: non dare più in giro il numero di casa!!!!",2020-02-26 18:07:24.539343,Thu Dec 18 09:39:28 +0000 2014
10,545505280138936321,Gerry_Scotti,6,@RudyZerbi @BeppeBeppetti grazie per questa operazione di sapiente marketing !!!!,2020-02-26 18:07:24.539472,Thu Dec 18 09:06:08 +0000 2014
11,544911206021349376,Gerry_Scotti,11,@BeppeBeppetti @AndreaBricchi77 @Fiorello @RudyZerbi .....io ingombro di più!!!!,2020-02-26 18:07:24.539626,Tue Dec 16 17:45:30 +0000 2014
12,544457813125505024,Gerry_Scotti,1,@barbaracappi1 grazie! E congratulazioni per la tua nomina a responsabile unica relazioni esterne di UOMINI E DONNE SENIOR!!!!!,2020-02-26 18:07:24.539814,Mon Dec 15 11:43:52 +0000 2014
