,tweet_id,handle,retweet_count,text,mined_at,created_at
0,1226644034623561728,Luciana_Litizzetto,111,La cena senza lume di candela. #chetempochefa #CTCF #maestrovessicchio @chetempochefa https://t.co/oWOGj9AxYe,2020-02-26 18:07:39.743338,Sun Feb 09 23:08:22 +0000 2020
1,1221817334773489665,Luciana_Litizzetto,23,"Quando il destino, come è capitato a me, ti mette davvero nei panni degli altri, senti meglio, molto meglio anche il loro dolore.
Un bacio a Niccolò e alla sua famiglia. #appello https://t.co/xpxv5kUZwE",2020-02-26 18:07:39.743414,Mon Jan 27 15:28:47 +0000 2020
2,1221538975904600068,Luciana_Litizzetto,24,Che artigiano della qualità. Che pezzo di nduja! Il mio osteopata massofisioterapista.  #chetempochefa #CTCF https://t.co/LDnxMzbE8j,2020-02-26 18:07:39.743557,Sun Jan 26 21:02:41 +0000 2020
3,1219272685215191041,Luciana_Litizzetto,31,"Caro Ama, devi stare molto attento perché l’Ariston si chiama come la lavatrice, è un attimo che finisci nella centrifuga e ne esci infeltrito. 
Ecco il mio vademecum per te ;-) #Sanremo2020  https://t.co/KZ4bMTolGr",2020-02-26 18:07:39.743663,Mon Jan 20 14:57:15 +0000 2020
4,1218150806702247936,Luciana_Litizzetto,152,Dai che se tutto procede domenica sarò in collegamento con Che tempo che fa. Incrociamo le dita. E mi raccomando: Sempre un passo indietro e nel mio caso uno per terra. #ctfc #chetempochefa,2020-02-26 18:07:39.743901,Fri Jan 17 12:39:19 +0000 2020
5,1217482204667895808,Luciana_Litizzetto,34,Punti? Tolti. Scucita. Grazie dott Buttafarro. #dottsalvatorecaviglia #humanitasgradenigo https://t.co/GiFcfBIzkr,2020-02-26 18:07:39.744045,Wed Jan 15 16:22:31 +0000 2020
6,1216459470903160832,Luciana_Litizzetto,104,Grazie ancora a tutti. Non vedo l’ora di guarire. @chetempochefa #chetempochefa #CTCF https://t.co/42ibDiKcfL,2020-02-26 18:07:39.744133,Sun Jan 12 20:38:33 +0000 2020
7,1213851565976702978,Luciana_Litizzetto,66,Per ore e ore e ore...Un bacio a tutti gli ammalati. #dueinfermieripelosi #nessunanotteèinfinita https://t.co/NsoQIlPsO6,2020-02-26 18:07:39.744214,Sun Jan 05 15:55:40 +0000 2020
8,1206337214017417217,Luciana_Litizzetto,62,"Roberto Benigni. Matteo Garrone. Renzo Piano. E io. Arrivata con gli stivali storti.

#CTCF https://t.co/KpG17sN94l",2020-02-26 18:07:39.744383,Sun Dec 15 22:16:19 +0000 2019
9,1204052050172108802,Luciana_Litizzetto,22,"Dato che in Italia da anni navighiamo in qualcosa di marrone, facciamo almeno che sia crema al cioccolato per piacere. #nutellabiscuits https://t.co/TZyU4nlU0R",2020-02-26 18:07:39.744459,Mon Dec 09 14:55:53 +0000 2019
10,1203787376658698243,Luciana_Litizzetto,35,"Carlo Antonio finalmente si è appropriato dell'estintore. 
Deo gratias. #CTCF #Zecchino62 https://t.co/48z5AW4o9O",2020-02-26 18:07:39.744608,Sun Dec 08 21:24:10 +0000 2019
11,1203404853680234497,Luciana_Litizzetto,9,Eccomi. Devo fare lo Zecchino d’oro non il remake di Dynasty! #ilreleone #ilmioparrucchiereèpazzo #zecchinodoro @zecchinodoro https://t.co/dMzm0apKik,2020-02-26 18:07:39.744686,Sat Dec 07 20:04:09 +0000 2019
