,tweet_id,handle,retweet_count,text,mined_at,created_at
0,1230514552674058240,Michelle_Hunziker,5,"IRON CIAPET E' QUI 🙌🏻
Avete mai provato la fascia elastica? Costa pochissimo e ci sono un'infinità di esercizi facili e divertenti da fare! Oggi ve ne faccio vedere 3 per tonificare e combattere la ciccetta che si accumula sopra e sotto il nostro bra!

https://t.co/k0chMhQhGu",2020-02-26 18:07:10.283614,Thu Feb 20 15:28:25 +0000 2020
1,1228004156050464769,Michelle_Hunziker,18,"Giornata di lavoro finita!!! Saluti da #Berlino❤️❤️❤️
Oggi la nostra Laura Barenghi ha avuto il monopolio su hair and make-up... secondo me è stata bravissima!!! Cosa ne pensate ?  🤣 https://t.co/PkWFXotOYg",2020-02-26 18:07:10.283936,Thu Feb 13 17:13:00 +0000 2020
2,1222834079781064707,Michelle_Hunziker,17,"Ho voluto sfidare me stessa in qualcosa di veramente difficile: NON RIDERE 🤭

Per vedere com’è andata 👉🏻 https://t.co/xLJzyUMUEy https://t.co/JXBlQTnaN7",2020-02-26 18:07:10.284149,Thu Jan 30 10:48:58 +0000 2020
3,1222158976382652417,Michelle_Hunziker,20,"Da anni mi fanno notare che rido sempre, tanto e... troppo 🙄
Bene, ho deciso di lavorare su me stessa e combattere quell'impulso irrefrenabile dentro di me sottoponendomi ad un esperimento: STAY SERIOUS!

https://t.co/MHouOWQeqq",2020-02-26 18:07:10.284288,Tue Jan 28 14:06:21 +0000 2020
4,1219179427994722304,Michelle_Hunziker,39,"Ho pensato molto a quello che è successo in questi giorni... per fortuna siamo in tanti a cercare di invertire una cultura sbagliata rispetto alla percezione che hanno le donne in questo paese... ma evidentemente non basta. Avanti tutta!! #sanremo2020

👉🏻 https://t.co/weooeY2KaZ",2020-02-26 18:07:10.284513,Mon Jan 20 08:46:41 +0000 2020
5,1216006656032636933,Michelle_Hunziker,12,"IRON CIAPET E' TORNATO 🙌🏻
Finite le feste è il momento di rimettersi in forma! Ecco alcuni semplici esercizi per tornare ad allenarsi dopo le abbuffate e smaltire un pò di ciccetta accumulata 😅
Pronti a partire? Bastano pochi minuti al giorno 👊

https://t.co/RwbaGJd3dp",2020-02-26 18:07:10.284784,Sat Jan 11 14:39:13 +0000 2020
6,1212891817143939073,Michelle_Hunziker,14,E manco a farlo apposta... #MaryPoppins anche a #AllTogetherNow 😂 https://t.co/GKbyv3khhH,2020-02-26 18:07:10.285044,Fri Jan 03 00:21:58 +0000 2020
7,1212891000630325249,Michelle_Hunziker,32,ECCO SONIA LA NOSTRA VINCITRICE!! 🙌🏻  #AllTogetherNow https://t.co/YKvORnNfJL,2020-02-26 18:07:10.285127,Fri Jan 03 00:18:43 +0000 2020
8,1212887106630107138,Michelle_Hunziker,2,Chi vincerà questa seconda edizione di #AllTogetherNow?,2020-02-26 18:07:10.285199,Fri Jan 03 00:03:15 +0000 2020
9,1212876718488346624,Michelle_Hunziker,8,Qui invece cercavo d’essere imparziale #AllTogetherNow https://t.co/GJKshfeStd,2020-02-26 18:07:10.285267,Thu Jan 02 23:21:58 +0000 2020
10,1212858857313198080,Michelle_Hunziker,15,La gara ha raggiunto un livello pazzesco!! #alltogethernow https://t.co/dQiqRSK9o5,2020-02-26 18:07:10.285619,Thu Jan 02 22:11:00 +0000 2020
11,1212840237514268686,Michelle_Hunziker,9,E chiudiamo il nostro trittico di giudici d’onore con @_GigiDAlessio_ !! 🙌🏻 #AllTogetherNow https://t.co/OdejIr7dLp,2020-02-26 18:07:10.285866,Thu Jan 02 20:57:00 +0000 2020
12,1212839834013851648,Michelle_Hunziker,10,Che onore avere con noi @dodibatt! ❤️ #AllTogetherNow https://t.co/dH2umfyUCm,2020-02-26 18:07:10.285982,Thu Jan 02 20:55:24 +0000 2020
13,1212830328798228481,Michelle_Hunziker,10,Ospite per la finale di #AllTogetherNow: @_GigiDAlessio_ !! ✌️ https://t.co/SxsiH9MonR,2020-02-26 18:07:10.286235,Thu Jan 02 20:17:38 +0000 2020
14,1210343232049160192,Michelle_Hunziker,10,GRAZIE A TUTTI E A GIOVEDÌ PROSSIMO! #AllTogetherNow https://t.co/Nm7awzi4D8,2020-02-26 18:07:10.286319,Thu Dec 26 23:34:48 +0000 2019
15,1210321661335162880,Michelle_Hunziker,7,"Nel fuorionda ho rubato il cappello a Cizco 
#AllTogetherNow https://t.co/O8jmge4VjF",2020-02-26 18:07:10.286562,Thu Dec 26 22:09:05 +0000 2019
16,1210319344548417536,Michelle_Hunziker,7,"Io a prescindere muovo le ciapet 

#AllTogetherNow https://t.co/X8xsXXVuBA",2020-02-26 18:07:10.286632,Thu Dec 26 21:59:53 +0000 2019
17,1210316616514310144,Michelle_Hunziker,12,".@jaxofficial sei il mio Frank ❤️
#AllTogetherNow https://t.co/gEd9LlncO8",2020-02-26 18:07:10.286688,Thu Dec 26 21:49:02 +0000 2019
18,1210315177670971394,Michelle_Hunziker,13,"Ma quanto ha spaccato IVA??? 😳

#AllTogetherNow https://t.co/YbT1YXfy2R",2020-02-26 18:07:10.286750,Thu Dec 26 21:43:19 +0000 2019
19,1210310678013239301,Michelle_Hunziker,7,"Fioccano gli auguri dal muro ❤️
#alltogethernow https://t.co/4s2Zlsdv4o",2020-02-26 18:07:10.286843,Thu Dec 26 21:25:26 +0000 2019
20,1210307365804924941,Michelle_Hunziker,22,"Stasera ho l’abito giusto 🙌🏻

#AllTogetherNow https://t.co/3ww0YVlRmE",2020-02-26 18:07:10.286903,Thu Dec 26 21:12:17 +0000 2019
21,1210307326823063556,Michelle_Hunziker,4,Tanti auguri da Mirkaccio e Mirkaccino #alltogethernow https://t.co/qGWhacZjzP,2020-02-26 18:07:10.286960,Thu Dec 26 21:12:07 +0000 2019
22,1209420356626370561,Michelle_Hunziker,16,"🎄🎉🎁BUON NATALE!! 🎁🎉🎄
Non potevamo farci stare 100 persone in studio... ma è come se ci fossero tutti!
Ecco i nostri auguri alla “#AllTogetherNow”, vi vogliamo bene e il 26 ci ritroverete in onda per una super puntata in mood natalizio!! 🙌🏻

https://t.co/fDk37d7Kdz",2020-02-26 18:07:10.287143,Tue Dec 24 10:27:37 +0000 2019
23,1207808474358390788,Michelle_Hunziker,13,In pieno delirio da mal di piedi vi auguro buonanotte ❤️ #AllTogetherNow https://t.co/S2Fu15X6zG,2020-02-26 18:07:10.287378,Thu Dec 19 23:42:34 +0000 2019
24,1207793169896759296,Michelle_Hunziker,12,Scusate se a #alltogheternow abbiamo Giorgio Vanni ✌️ https://t.co/mtHfMGwUMQ,2020-02-26 18:07:10.287594,Thu Dec 19 22:41:46 +0000 2019
25,1207762791471419393,Michelle_Hunziker,9,"Tra pochi minuti in onda!! 🙌🏻#AllTogetherNow 

@jaxofficial @MediasetPlay @QuiMediaset_it https://t.co/O3vIO45Ghm",2020-02-26 18:07:10.288242,Thu Dec 19 20:41:03 +0000 2019
26,1206573293744087042,Michelle_Hunziker,17,"Il mio nuovo singolo e video #CIAPET (Feat. Alborosie) OUT NOW!

https://t.co/GA7YsKg7C1",2020-02-26 18:07:10.288341,Mon Dec 16 13:54:24 +0000 2019
27,1205236935112962064,Michelle_Hunziker,4,E facciamoli alzare questi giudici! #AllTogetherNow https://t.co/HjOIUuLtoO,2020-02-26 18:07:10.288848,Thu Dec 12 21:24:12 +0000 2019
28,1205227488634396673,Michelle_Hunziker,10,"Per smorzare la tensione racconto barzellette BRUTTE.
#AllTogetherNow @MediasetPlay @QuiMediaset_it https://t.co/mfbtdPHEPq",2020-02-26 18:07:10.289005,Thu Dec 12 20:46:39 +0000 2019
29,1205220836615041029,Michelle_Hunziker,54,"Questa sera ospiti per la seconda puntata di #AllTogetherNow: @BenjieFede! 🙌🏻

@MediasetPlay @QuiMediaset_it https://t.co/LXdF7oiiKS",2020-02-26 18:07:10.289132,Thu Dec 12 20:20:14 +0000 2019
30,1205071417324265478,Michelle_Hunziker,20,Oggi in edicola un bellissimo servizio con intervista di @Grazia!! Wow 🙌🏻 https://t.co/vp2CdCybmc,2020-02-26 18:07:10.289242,Thu Dec 12 10:26:29 +0000 2019
31,1203400641005137922,Michelle_Hunziker,31,Buona Domenica dai “Trunziker” ✌️ https://t.co/GSRohVV2gJ,2020-02-26 18:07:10.289318,Sat Dec 07 19:47:25 +0000 2019
32,1202376040158502912,Michelle_Hunziker,8,Buonanotte ❤️ ci vediamo il 12 dicembre per la seconda puntata di #AllTogetherNow!! https://t.co/ahxzKbvkY4,2020-02-26 18:07:10.289367,Wed Dec 04 23:56:01 +0000 2019
33,1202373034658672642,Michelle_Hunziker,7,Reazioni sempre CONTENUTE  #AllTogetherNow https://t.co/HPQZOZHfZ6,2020-02-26 18:07:10.289467,Wed Dec 04 23:44:05 +0000 2019
34,1202368408119119878,Michelle_Hunziker,14,Con #AllTogetherNow é tornato anche lui... IL MAL DI PIEDI 😭 https://t.co/wxnTJYtMLC,2020-02-26 18:07:10.289573,Wed Dec 04 23:25:42 +0000 2019
35,1202334940425310208,Michelle_Hunziker,5,"IMPOSSIBILE STARE FERMI!!
@QuiMediaset_it @MediasetPlay #AllTogetherNow https://t.co/D1leIqAL1g",2020-02-26 18:07:10.713149,Wed Dec 04 21:12:42 +0000 2019
36,1202328401962504201,Michelle_Hunziker,14,"Tra pochi minuti la prima puntata di #AllTogetherNow!! TUNE IN!!

@MediasetPlay @jaxofficial @QuiMediaset_it https://t.co/JDjuOOplYX",2020-02-26 18:07:10.713396,Wed Dec 04 20:46:43 +0000 2019
