,tweet_id,handle,retweet_count,text,mined_at,created_at
0,1231728522932166664,Fabio_Fazio,47,"Speriamo di essere stati utili e di avervi tenuto compagnia.
@chetempochefa #CTCF https://t.co/8sPvWtbqaG",2020-02-26 18:08:53.371132,Sun Feb 23 23:52:18 +0000 2020
1,1230110098070147074,Fabio_Fazio,73,"Incontri televisivi memorabili, qualche libro in dono, momenti privati che conservo gelosamente e tanta nostalgia... https://t.co/981CMySbWO",2020-02-26 18:08:53.371319,Wed Feb 19 12:41:16 +0000 2020
2,1229194700877369344,Fabio_Fazio,61,"Ringrazio tutta la @ScuderiaFerrari #Vettel #binotto 
È stato un incontro indimenticabile!
@Charles_Leclerc non ti preoccupare; ti aspettiamo in studio con piacere un’altra volta!!! @chetempochefa #CTCF https://t.co/nCWa2GBOIk",2020-02-26 18:08:53.371583,Mon Feb 17 00:03:48 +0000 2020
3,1229097203962126341,Fabio_Fazio,30,"🎵Prove &lt;-&gt; Soundcheck🎵
#viceversa ⁦@frankgabbani⁩ 
⁦@chetempochefa⁩ #CTCF https://t.co/LWukKrjnxG",2020-02-26 18:08:53.371925,Sun Feb 16 17:36:23 +0000 2020
4,1228067235991871492,Fabio_Fazio,35,"Non vedo l’ora! Che meraviglia!!!!!
La Ferrari a #ctcf! https://t.co/Q7XYczbqMz",2020-02-26 18:08:53.372094,Thu Feb 13 21:23:40 +0000 2020
5,1226658612300460032,Fabio_Fazio,21,"Grazie di essere stati con noi.
#CTCF @chetempochefa https://t.co/2Q39MttQSk",2020-02-26 18:08:53.372272,Mon Feb 10 00:06:18 +0000 2020
6,1226594253914198019,Fabio_Fazio,8,Prepariamoci ad una divertente sorpresa dei #popcorn ⁦@ChriDeSica⁩ ⁦@AngyFinocchiaro⁩ #massimoghini #paolorossi #CTCF ⁦@chetempochefa⁩ https://t.co/LyqwiHVtD8,2020-02-26 18:08:53.372381,Sun Feb 09 19:50:33 +0000 2020
7,1226572897289953280,Fabio_Fazio,6,"Il #Magoforest ci sorprenderà... a fra poco! ⁦@chetempochefa⁩ #CTCF 
-19:40 CTCFArà https://t.co/alavHmJJaP",2020-02-26 18:08:53.372619,Sun Feb 09 18:25:41 +0000 2020
8,1226189403783147521,Fabio_Fazio,15,"A domenica con @chetempochefa #CTCF.
-h.19:40 CTCFArà;
-h.21:00 CTCFA. https://t.co/4dpSmtsSN5",2020-02-26 18:08:53.372794,Sat Feb 08 17:01:50 +0000 2020
9,1225368663232012288,Fabio_Fazio,133,"Evviva il nostro @astro_luca!
Bentornato comandante! https://t.co/OlvsORnTzu",2020-02-26 18:08:53.372938,Thu Feb 06 10:40:30 +0000 2020
10,1224332245693014016,Fabio_Fazio,70,Un altro gesto inquietante... https://t.co/r5VClunU2i,2020-02-26 18:08:53.373038,Mon Feb 03 14:02:09 +0000 2020
